"","INVENTORY_ID","PLOT_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","BASAL_AREA","DENSITY","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H"
"12264","IFN2","24_1097_IFN2",15,210,26,0.40640625,31.8309886183791,12.75,5,12.75,5
"12273","IFN2","24_1128_IFN2",19,210,26,59.3084305555556,1068.10650697228,25.7496688741722,11.5099337748344,26.5892443274961,13.5
"12291","IFN2","24_1149_IFN2",15,23,26,17.2503416666667,1248.48210914309,12.3484419263456,6.02266288951841,13.2636406882103,7.98275862068965
"12314","IFN2","24_1160_IFN2",30,123,26,25.8670888888889,636.619772367581,22.3761111111111,9.55555555555556,22.7451484448394,10.375
"12328","IFN2","24_1173_IFN2",30,15,26,50.302875,1885.10188151067,18.0465290806754,9.22514071294559,18.43249180717,10.1875
"12371","IFN2","24_1216_IFN2",25,133,26,54.37694375,2939.06128243033,14.669614921781,8.32731648616125,15.3482242414105,10.5625
"12577","IFN2","24_1441_IFN2",30,229,26,33.1749756944444,1082.25361302489,17.9887254901961,11.1519607843137,19.7558556306566,12.5
"12672","IFN2","24_1587_IFN2",4,47,26,8.24204722222222,498.685488354605,12.8014184397163,6.43262411347518,14.5063864634495,8.93939393939394
"12676","IFN2","24_1597_IFN2",30,47,26,26.5080905555556,721.07799550168,20.1809299587993,10.0451245830881,21.6348137450683,11.2046632124352
"12755","IFN2","24_604_IFN2",5,72,26,0.51480625,31.8309886183791,14.35,7.5,14.35,7.5
"12803","IFN2","24_679_IFN2",30,123,26,20.0593090277778,481.001605788839,22.3797794117647,9.10661764705882,23.0430403714185,10.4375
"12804","IFN2","24_680_IFN2",25,92,26,17.5968465277778,1121.15815466957,13.5837539432177,6.18769716088328,14.1364070658658,8.05172413793103
"12849","IFN2","24_706_IFN2",30,76,26,39.0177430555556,1987.66840039212,15.1044483985765,8.24822064056939,15.8093554783416,10.75
"12910","IFN2","24_744_IFN2",35,133,26,36.8012270833333,1372.26928710345,17.7998711340206,8.12628865979381,18.47849247851,9.9375
"12931","IFN2","24_751_IFN2",25,61,26,25.6726888888889,1612.77008999787,13.6574561403509,6.77850877192982,14.2365418134819,8.98484848484849
"13006","IFN2","24_796_IFN2",25,151,26,27.9387159722222,1453.61514690598,15.0127737226277,7.92579075425791,15.6434868251506,10.2121212121212
"13093","IFN2","24_831_IFN2",20,199,26,27.92628125,3087.60589598277,10.4561855670103,5.99484536082474,10.7312591376973,7.625
"13105","IFN2","24_836_IFN2",15,79,26,3.15265069444444,332.456992236404,10.3367021276596,3.93085106382979,10.9881669913497,3.88793103448276
"13132","IFN2","24_847_IFN2",20,68,26,32.7316347222222,2129.13946091824,13.4506644518272,7.59551495016611,13.9906165160203,9.65714285714286
